,XLC US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLV US Equity,XLI US Equity,XLK US Equity,IYZ US Equity,XLB US Equity,XLU US Equity,USRT US Equity,AGG US Equity,LQD US Equity,HYG US Equity,TIP US Equity,EMB US Equity,GLD US Equity,DBC US Equity,DBA US Equity
12/31/09,#N/A N/A,29.77,26.47,57.01,11.6931,31.07,27.79,22.93,20.02,32.99,31.02,27.77,103.19,104.15,87.84,103.9,101.78,107.31,24.62,26.44
1/1/10,#N/A N/A,29.77,26.47,57.01,11.6931,31.07,27.79,22.93,20.02,32.99,31.02,27.77,103.19,104.15,87.84,103.9,101.78,107.31,24.62,26.44
1/4/10,#N/A N/A,30,26.67,58.81,11.9285,31.61,28.32,23.27,20.55,34.02,31.08,27.53,103.31,104.7,88.53,104.17,101.93,109.8,25.24,26.69
1/5/10,#N/A N/A,30.11,26.68,59.29,12.1478,31.3,28.42,23.24,20.68,34.13,30.71,27.69,103.78,105.2,88.95,104.51,102.55,109.7,25.27,26.86
1/6/10,#N/A N/A,30.15,26.66,60,12.1721,31.62,28.48,22.98,20.34,34.71,30.89,27.57,103.72,104.89,89.18,104.24,102.69,111.51,25.72,27.01
1/7/10,#N/A N/A,30.4,26.66,59.91,12.432,31.73,28.79,22.89,20.26,34.44,30.75,27.89,103.6,105.02,89.54,104.4,102.16,110.82,25.4,26.8
1/8/10,#N/A N/A,30.39,26.57,60.3,12.3589,31.78,29.25,23.04,20.11,34.92,30.72,27.67,103.66,105.25,89.68,104.62,102.28,111.37,25.38,26.88
1/11/10,#N/A N/A,30.33,26.64,60.22,12.367,31.96,29.57,22.95,20.15,34.73,31.04,27.7117,103.58,105.36,89.6,104.39,103.055,112.85,25.3,26.76
1/12/10,#N/A N/A,29.94,26.79,59.35,12.1884,31.73,29.33,22.7,19.83,34.07,30.91,27.42,104.24,105.56,89.14,104.87,103.08,110.49,24.76,26.27
1/13/10,#N/A N/A,30.28,26.98,59.57,12.3264,32.15,29.45,22.92,19.89,34.47,31.25,27.86,103.8,105.12,89.34,104.4,102.85,111.54,24.78,26.6
1/14/10,#N/A N/A,30.28,26.9,59.74,12.3833,32.44,29.45,22.98,19.66,34.05,31.11,27.82,104.07,105.5,89.44,104.67,102.31,112.03,24.65,26.35
1/15/10,#N/A N/A,29.98,26.77,59.26,12.1315,32.22,29.07,22.66,19.44,33.8,30.91,27.49,104.2655,105.46,89.08,105.01,102.25,110.86,24.37,26.1
1/18/10,#N/A N/A,29.98,26.77,59.26,12.1315,32.22,29.07,22.66,19.44,33.8,30.91,27.49,104.2655,105.46,89.08,105.01,102.25,110.86,24.37,26.1
1/19/10,#N/A N/A,30.38,26.93,59.8,12.2858,33,29.39,23.05,19.59,34.34,31.27,27.9501,104.1,105.55,89.118,104.93,102.41,111.52,24.53,26.27
1/20/10,#N/A N/A,29.97,26.73,58.87,12.2533,32.72,28.94,22.68,19.34,33.73,30.94,27.78,104.37,105.48,88.99,105.09,102.53,108.94,24.07,26.13
1/21/10,#N/A N/A,29.59,26.35,57.67,11.9042,32.01,28.27,22.44,19.07,32.27,30.49,26.98,104.4,105.76,87.6,105.287,102.35,107.37,23.77,26.15
1/22/10,#N/A N/A,29.02,26.29,56.3,11.516,31.66,27.84,21.66,18.72,31.63,29.82,26.36,104.46,105.6,86.77,105.19,102.06,107.17,23.52,26.11
1/25/10,#N/A N/A,29.17,26.34,56.67,11.5794,31.66,28.02,21.84,18.9,31.91,30.02,26.49,104.45,105.59,86.9,104.92,102.1,107.48,23.63,25.93
1/26/10,#N/A N/A,29.21,26.31,56.31,11.3764,31.48,27.9,21.78,18.6,31.46,30.14,26.31,104.58,105.31,87.01,105.24,102.07,107.56,23.37,25.72
1/27/10,#N/A N/A,29.26,26.37,56.09,11.6524,31.7,27.98,21.96,18.57,31.19,29.94,26.54,104.5,104.93,87.04,104.96,101.84,106.528,23.03,25.37
1/28/10,#N/A N/A,29.09,26.3,55.5,11.5956,31.5,27.66,21.33,18.4,30.63,29.71,26.36,104.41,104.78,86.67,105.1,101.5,106.48,22.95,25.58
1/29/10,#N/A N/A,28.91,26.2,54.5,11.5144,31.28,27.38,20.959,18.22,30.14,29.53,26.22,104.65,105.45,86.23,105.49,101.23,105.96,22.69,25.3
2/1/10,#N/A N/A,29.28,26.4,56.3,11.7093,31.46,27.79,21.2,18.42,31.34,29.72,26.61,104.18,104.53,85.98,105.24,100.782,108.35,23.24,25.26
2/2/10,#N/A N/A,29.69,26.78,57.04,11.8213,32.11,28.32,21.41,18.62,31.44,29.96,26.98,104.3,104.86,86.24,105.43,100.54,109.13,23.74,25.65
2/3/10,#N/A N/A,29.71,26.59,56.55,11.6931,31.68,28.15,21.46,18.56,31.08,29.75,26.7301,104.11,104.75,86.68,105,100.4,108.7,23.45,25.34
2/4/10,#N/A N/A,28.85,26.05,54.23,11.1896,30.88,27.32,20.86,18,29.92,28.97,25.73,104.36,104.74,85.45,105.2791,99.38,104.37,22.67,25.17
2/5/10,#N/A N/A,28.77,25.98,54.24,11.3195,30.83,27.2,21.07,17.98,30.48,28.92,25.89,104.4,104.42,84.95,105.09,99.03,104.68,22.38,24.88
2/8/10,#N/A N/A,28.59,25.95,53.74,11.0922,30.68,26.9,20.98,17.95,29.99,28.59,25.85,104.6,104.52,84.58,104.93,99.47,104.04,22.39,25.22
2/9/10,#N/A N/A,29.03,26.26,54.87,11.2058,30.92,27.42,21.16,18.17,30.72,28.88,25.57,104.41,104.28,84.75,104.57,99.35,105.41,22.79,25.26
2/10/10,#N/A N/A,28.91,26.23,54.64,11.2952,30.73,27.38,21.1,18.1,30.51,28.75,25.53,104.17,103.47,83.61,104.26,99.66,105.12,22.88,25.47
2/11/10,#N/A N/A,29.25,26.441,55.57,11.3195,30.94,27.79,21.32,18.24,31.03,28.92,25.72,103.998,103.708,83.948,104.01,100.36,107.13,23.15,25.52
2/12/10,#N/A N/A,29.25,26.44,55.59,11.3276,30.87,27.57,21.36,18.22,30.97,28.81,25.93,104.02,103.83,83.9,104.01,100.21,107.04,23.02,25.41
2/15/10,#N/A N/A,29.25,26.44,55.59,11.3276,30.87,27.57,21.36,18.22,30.97,28.81,25.93,104.02,103.83,83.9,104.01,100.21,107.04,23.02,25.41
2/16/10,#N/A N/A,29.72,26.71,56.9,11.5631,31.14,28.22,21.68,18.43,31.75,29.31,26.67,104.28,104.24,84.73,104.31,100.38,109.62,23.72,25.9
2/17/10,#N/A N/A,29.96,26.9,56.82,11.6037,31.38,28.46,21.74,18.64,31.77,29.19,26.92,103.96,103.891,85.38,104.11,100.81,109.25,23.6,25.5
2/18/10,#N/A N/A,30.15,27.06,57.14,11.6768,31.53,28.72,21.88,18.84,32.11,29.35,27.24,103.92,103.82,86.19,104.02,100.57,109.98,23.81,25.61
2/19/10,#N/A N/A,30.22,27.12,57.36,11.7418,31.53,28.86,21.82,18.89,32.29,29.76,27.26,104,104.19,86.77,103.84,100.92,109.47,23.95,25.76
2/22/10,#N/A N/A,30.21,27.12,56.57,11.8961,31.44,28.88,21.78,18.86,32.15,29.6,27.38,103.82,104.25,86.88,103.579,100.97,109.07,23.82,25.52
2/23/10,#N/A N/A,30.03,26.97,55.63,11.6768,31.14,28.51,21.51,18.65,31.64,29.4,27.288,104.19,104.5,86.25,103.9,100.81,107.89,23.43,25.13
2/24/10,#N/A N/A,30.42,27.14,55.98,11.8798,31.37,28.8,21.72,18.65,31.56,29.43,27.47,104.3,104.95,86.58,103.7,100.96,107.36,23.62,25.41
2/25/10,#N/A N/A,30.47,27.16,56.01,11.8473,31.39,28.73,21.66,18.66,31.49,29.37,27.45,104.51,104.84,86.59,103.7,101.32,108.31,23.22,25.19
2/26/10,#N/A N/A,30.52,27.03,56.14,11.9204,31.4,28.84,21.69,18.71,31.5,29.14,27.61,104.53,105.53,87.17,103.91,102.09,109.43,23.63,25.4
3/1/10,#N/A N/A,31,27.22,56.66,11.9529,31.7,29.22,21.97,18.98,31.98,29.56,27.81,104.36,105.22,86.59,103.92,101.68,109.43,23.39,25.09
3/2/10,#N/A N/A,30.84,27.32,57.13,11.9935,31.81,29.27,21.94,19.02,32.25,29.65,27.81,104.4,105.44,87.15,104,102.511,111.02,23.64,25.09
3/3/10,#N/A N/A,30.93,27.33,57.38,12.0016,31.68,29.31,21.95,19.12,32.53,29.6,27.69,104.4,105.66,87.24,103.96,102.4,111.63,23.87,25.11
3/4/10,#N/A N/A,31.21,27.42,57.08,12.1234,31.58,29.45,22.04,19.06,32.75,29.66,27.8376,104.59,105.71,87.31,104.07,102.5,110.83,23.66,24.95
3/5/10,#N/A N/A,31.79,27.59,58.15,12.3589,32.02,29.9,22.31,19.27,33.17,29.96,28.53,104.39,105.58,87.83,103.84,102.61,110.81,23.94,24.98
3/8/10,#N/A N/A,31.87,27.49,58.06,12.3833,31.83,29.76,22.43,19.42,33.17,29.96,28.84,104.46,105.75,87.85,103.75,103.02,109.88,23.91,24.9
3/9/10,#N/A N/A,31.82,27.45,58.06,12.4239,31.81,30,22.53,19.7,32.96,29.92,28.94,104.58,105.65,88.23,103.93,103.09,109.718,23.65,24.61
3/10/10,#N/A N/A,31.89,27.41,58.57,12.5619,31.83,30.06,22.68,19.67,32.97,29.93,28.9824,104.51,105.75,88.26,103.82,102.97,108.47,23.72,24.52
3/11/10,#N/A N/A,32.12,27.46,58.47,12.6675,32.08,30.17,22.77,19.75,33.16,30.03,29.1526,104.51,105.71,88.18,103.94,103.18,108.6,23.66,24.44
3/12/10,#N/A N/A,32.21,27.48,58.5,12.6188,31.84,30.37,22.75,19.75,33.29,29.84,29.4399,104.515,105.93,88.2,104.21,103.88,107.95,23.52,24.58
3/15/10,#N/A N/A,32.17,27.689,57.9,12.6188,32.05,30.37,22.73,19.78,33.28,29.95,29.42,104.65,105.91,88.1,104.19,104.06,108.36,23.24,24.45
3/16/10,#N/A N/A,32.41,27.82,58.42,12.7722,32.14,30.78,22.9,19.79,33.77,30.3,30.15,104.84,106.4,88.396,104.58,104.17,110.4,23.55,24.51
3/17/10,#N/A N/A,32.57,27.94,59.06,12.9273,32.15,30.83,22.97,20.07,33.96,30.4,30.51,104.92,106.79,88.4,104.8,104.59,109.59,23.76,24.72
3/18/10,#N/A N/A,32.56,27.97,58.18,12.8542,32.37,31.04,23,20.13,33.72,30.26,30.3924,104.83,106.58,88.53,104.38,104.34,110.34,23.71,24.91
3/19/10,#N/A N/A,32.4,27.77,57.28,12.7406,32.25,30.81,22.79,20.1,33.28,29.96,30.07,104.75,106.5,88.09,104.18,104.67,108.28,23.42,24.79
3/22/10,#N/A N/A,32.74,27.91,57.13,12.8055,32.46,30.9,22.96,20.22,33.77,29.76,30.4274,104.83,106.67,88.51,104.42,104.39,107.75,23.42,24.7
3/23/10,#N/A N/A,32.87,28.13,57.35,12.9111,32.62,31.25,23.18,20.5,34.21,29.88,30.25,104.85,106.6,88.5,104.34,104.44,108.32,23.32,24.38
3/24/10,#N/A N/A,32.74,27.93,57.02,12.9192,32.27,31.03,23.07,20.27,34.11,29.57,30.41,104.32,105.81,88.45,103.5,104.36,106.3,23.06,24.38
3/25/10,#N/A N/A,32.93,27.89,56.06,12.976,32.14,31.01,23.11,19.93,33.43,29.38,30.16,104.05,105.43,88.66,103.36,104.15,106.78,22.93,24.1
3/26/10,#N/A N/A,33.06,27.91,56.08,12.9923,31.9,31.09,23,19.94,33.68,29.45,30.02,104.22,105.75,88.63,103.49,104.1,108.59,22.97,24.04
3/29/10,#N/A N/A,33.11,28.04,57.17,13.0085,32.24,31.37,23.07,20.03,34.04,29.81,30.0599,104.1,105.66,88.74,103.36,104.18,108.75,23.49,24.45
3/30/10,#N/A N/A,33.08,28.09,57.26,12.9273,32.24,31.42,23.17,20.07,34.09,29.73,30.04,104.14,105.72,88.65,103.45,104.14,107.97,23.54,24.61
3/31/10,#N/A N/A,32.84,27.93,57.52,12.9517,32.13,31.24,23.1,20.02,33.92,29.66,29.72,104.2,105.77,88.37,103.9,104.25,108.95,23.52,24.22
4/1/10,#N/A N/A,33.07,28.11,58.54,13.0572,32.31,31.44,23.06,20.29,34.51,30.07,29.83,103.84,105.53,87.5,103.44,103.82,110.26,23.98,24.41
4/2/10,#N/A N/A,33.07,28.11,58.54,13.0572,32.31,31.44,23.06,20.29,34.51,30.07,29.83,103.84,105.53,87.5,103.44,103.82,110.26,23.98,24.41
4/5/10,#N/A N/A,33.47,28.11,59.58,13.1872,32.22,31.67,23.33,20.45,34.93,30.25,30.48,103.199,104.56,87.46,102.71,103.96,110.89,24.36,24.51
4/6/10,#N/A N/A,33.52,28.02,59.58,13.3252,32.2,31.68,23.35,20.38,34.99,30.5,31.2,103.33,104.81,88.03,103.12,103.85,111.03,24.34,24.46
4/7/10,#N/A N/A,33.4,27.84,58.99,13.2765,32.06,31.5,23.26,20.2,34.77,30.2,30.3599,103.77,105.34,88.16,103.85,103.9,112.49,24.25,24.54
4/8/10,#N/A N/A,33.72,27.89,59.2,13.382,31.94,31.6025,23.3,20.36,34.85,30.02,30.39,103.67,105.14,88.31,103.75,104.04,112.65,24.21,24.35
4/9/10,#N/A N/A,33.97,28.04,59.83,13.4316,32.08,31.78,23.48,20.48,34.91,30.24,30.91,103.78,105.21,88.44,103.86,104.15,113.64,24.26,24.36
4/12/10,#N/A N/A,33.97,28.13,59.97,13.4876,31.99,31.85,23.53,20.56,34.8,30.32,30.67,104.02,105.51,88.46,104.15,104.4,113.01,24.24,24.47
4/13/10,#N/A N/A,34.15,28.04,59.76,13.4957,32.02,31.9,23.6,20.55,34.67,30.16,31.44,104.19,105.89,88.7,104.24,104.45,112.69,24.33,24.54
4/14/10,#N/A N/A,34.68,28.08,60.33,13.8449,31.91,32.31,23.94,20.69,34.93,30.19,31.34,104.07,105.8,88.94,104.11,104.71,113.03,24.61,24.6
4/15/10,#N/A N/A,34.83,28.03,60.32,13.7881,31.82,32.62,24.05,20.7,34.93,30.18,30.57,104.26,105.98,89.18,104.41,105.28,113.65,24.7,24.74
4/16/10,#N/A N/A,34.37,27.91,59.3,13.2846,31.63,32.09,23.73,20.43,34.33,29.83,30,104.42,106.23,88.46,104.65,105.32,111.24,24.25,24.58
4/19/10,#N/A N/A,34.43,28.02,59.38,13.4145,31.89,32.03,23.78,20.49,34.34,29.86,29.948,104.23,105.96,88.29,104.4,105.05,111.15,23.94,24.57
4/20/10,#N/A N/A,34.85,28.099,60.54,13.5932,31.96,32.4,23.91,20.645,34.449,30.24,30.5,104.4,106.19,89.24,104.65,105.35,111.46,24.13,24.73
4/21/10,#N/A N/A,35.01,28.1,60.48,13.512,31.4,32.62,23.96,20.52,34.36,30.27,31.0789,104.58,106.56,89.25,104.97,105.23,112.31,24.25,24.93
4/22/10,#N/A N/A,35.64,28.1,60.63,13.5851,31.04,32.92,24.02,20.57,34.7,30.37,31.61,104.37,106.32,88.99,104.67,104.94,111.84,24.31,25.02
4/23/10,#N/A N/A,35.67,28.03,62.09,13.6257,31.35,33.12,24.08,20.6,35.01,30.61,32,104.24,106.3,89.57,104.68,104.7,113.19,24.47,24.75
4/26/10,#N/A N/A,35.95,27.97,61.88,13.4125,31.02,33.19,24.05,20.45,35.16,30.5,32.18,104.23,106.35,89.57,104.77,104.75,112.75,24.35,24.73
4/27/10,#N/A N/A,34.91,27.48,59.98,12.959,30.66,32.39,23.58,20.14,33.88,29.98,31.18,104.56,106.42,88.44,105.38,104.02,114.63,23.98,24.38
4/28/10,#N/A N/A,34.79,27.7,60.59,13.1466,30.86,32.62,23.65,20.31,34.29,30.29,31.22,104.4,106.6,88.5,105.17,103.76,114.31,24.06,24.48
4/29/10,#N/A N/A,35.56,27.79,60.66,13.447,31.28,33.36,23.89,20.61,34.6,30.32,32.5782,104.44,106.873,89.11,105.72,103.95,114.28,24.25,24.7
4/30/10,#N/A N/A,34.82,27.63,59.91,13.1214,30.88,32.57,23.389,20.38,33.99,30.44,31.66,104.89,107.31,89.4,106.06,104.3,115.36,24.44,24.9
5/3/10,#N/A N/A,35.52,27.79,60.59,13.3739,31.03,33.22,23.71,20.66,33.97,30.83,32.6,104.38,106.89,88.75,105.71,103.98,115.73,24.56,24.87
5/4/10,#N/A N/A,34.4825,27.51,58.97,13.0085,30.85,32.17,23.03,20.13,32.79,30.3,31.85,104.8,107.02,87.84,105.87,103.45,114.87,23.9,24.76
5/5/10,#N/A N/A,33.99,27.61,58.04,12.9375,30.95,31.76,22.93,20.05,32.55,30.09,31.388,104.72,106.56,86.64,105.92,102.67,115.09,23.36,24.69
5/6/10,#N/A N/A,32.78,26.92,56.0549,12.3914,30.12,30.71,22.24,19.45,31.48,29.26,30.17,104.87,104.8,84.486,106.4,98.1081,118.486,22.8999,24.18
5/7/10,#N/A N/A,32.18,26.74,54.99,12.2533,29.72,30.03,21.75,18.94,31.13,29.1,29.72,104.41,105.14,84.48,106.17,99.46,118.27,22.78,24.1
5/10/10,#N/A N/A,33.86,27.52,57.34,12.9362,30.52,31.75,22.75,19.55,32.61,30,31.68,104.4,105.8,86.06,105.87,102.81,117.57,23.22,24.34
5/11/10,#N/A N/A,33.85,27.51,56.96,12.8867,30.46,31.66,22.6,19.65,32.2,30.06,31.7,104.79,105.91,85.96,106.07,102.86,120.656,23.18,24.21
5/12/10,#N/A N/A,34.34,27.7,57.75,13.0329,30.71,32.36,23.19,20.13,32.87,30.31,32.27,104.68,105.87,87.01,106.2,103.26,121.4,23.37,24.34
5/13/10,#N/A N/A,33.57,27.53,57.38,12.7974,30.38,31.86,22.85,20.2,32.38,30.18,31.79,104.83,106.18,86.47,106.29,103.59,120.56,23.17,24.15
5/14/10,#N/A N/A,33.01,27.27,56.24,12.4645,29.97,31.19,22.41,19.89,31.59,29.93,30.77,105.21,106.15,85.97,106.6,103.08,120.37,22.58,23.75
5/17/10,#N/A N/A,33.26,27.56,55.66,12.4726,29.97,31.11,22.52,20.06,31.59,29.96,30.84,105.13,106.33,85.86,106.23,103.06,119.36,21.94,23.45
5/18/10,#N/A N/A,32.64,27.4,55.23,12.1153,29.73,30.72,22.18,19.91,31.05,29.67,30.045,105.49,106.67,85.68,106.78,102.91,119.49,21.91,23.64
5/19/10,#N/A N/A,32.44,27.33,54.6,12.1315,29.66,30.33,22.01,19.82,31.05,29.37,29.79,105.54,106.73,85.18,106.1,102.34,116.63,21.71,23.77
5/20/10,#N/A N/A,31.18,26.52,52.16,11.5672,28.73,29.01,21.31,19.07,29.64,28.49,28.4,105.45,106.49,82.64,106.092,100.31,115.84,21.26,23.54
5/21/10,#N/A N/A,31.73,26.62,53.07,11.9773,28.8,29.42,21.47,19.22,30.37,28.62,29.24,105.9,106.31,84.3,106.16,101.08,115.22,21.48,23.84
5/24/10,#N/A N/A,31.51,26.43,51.86,11.6362,28.73,28.98,21.37,19.24,29.85,28.35,28.77,105.84,106.59,84.43,106.05,101.39,116.84,21.46,23.76
5/25/10,#N/A N/A,31.83,26.12,51.98,11.7418,28.61,28.96,21.31,19.34,30.35,28.2,28.95,105.97,106.08,84.33,105.7,100.56,117.36,21.29,23.66
5/26/10,#N/A N/A,31.73,25.95,51.87,11.6606,28.43,29.02,21.1,19.18,30.11,28.19,28.93,105.85,106.15,83.32,105.9,101.06,118.47,21.52,23.73
5/27/10,#N/A N/A,32.87,26.48,54.07,12.1884,29.01,30,21.82,19.79,31.3,28.73,30.52,105.6,105.6,84.47,105.51,101.7,118.69,22.15,23.99
5/28/10,#N/A N/A,32.37,26.35,53.05,11.9204,28.87,29.6,21.64,19.6,30.75,28.76,30.13,105.71,105.46,84.61,106.1,101.94,118.881,21.96,23.58
5/31/10,#N/A N/A,32.37,26.35,53.05,11.9204,28.87,29.6,21.64,19.6,30.75,28.76,30.13,105.71,105.46,84.61,106.1,101.94,118.881,21.96,23.58
6/1/10,#N/A N/A,31.88,26.29,50.53,11.6687,28.55,28.94,21.43,19.15,29.76,28.09,29.53,105.56,104.93,83.57,105.36,101.71,119.91,21.55,23.53
6/2/10,#N/A N/A,32.68,26.74,52.72,12.0341,29.17,29.69,21.91,19.72,30.68,28.68,30.107,105.45,105.3,84,105.25,101.23,119.78,21.81,23.51
6/3/10,#N/A N/A,32.79,26.78,53.43,11.9683,29.34,29.8275,22.13,19.75,30.31,28.98,29.97,105.4,104.96,84.03,105.3,102.08,117.96,21.93,23.52
6/4/10,#N/A N/A,31.52,26.07,51.55,11.49,28.48,28.43,21.42,19.22,29.11,28.1175,28.52,105.67,105.6,83.56,105.97,101.6,119.19,21.25,23.06
6/7/10,#N/A N/A,30.92,25.87,51.1,11.2627,28.44,27.7,21.11,18.92,28.59,28.29,28.36,105.98,106.045,82.98,106.06,101.27,121.49,21.29,22.87
6/8/10,#N/A N/A,31.18,26.29,51.95,11.4982,28.51,27.99,21.15,19.03,29.24,28.66,28.76,105.86,106.04,83.11,105.79,101.02,121.0025,21.46,23.12
6/9/10,#N/A N/A,31.22,26.24,51.41,11.3764,28.38,27.99,21.04,19.065,29.28,28.5,28.94,105.92,106.08,83.294,105.9,101.36,120.56,21.56,23.09
6/10/10,#N/A N/A,32.28,26.69,53.99,11.7499,28.92,29.07,21.55,19.53,30.33,29.2,30.246,105.6,105.64,84.14,105.12,101.84,118.975,21.92,23.3
6/11/10,#N/A N/A,32.25,26.47,54.32,11.7824,29.16,29.17,21.74,19.72,30.67,29.22,30.57,105.66,106.03,84.2577,105.73,102.21,120.01,21.95,23.55
6/14/10,#N/A N/A,32.34,26.62,54.04,11.7337,29.21,29.14,21.7,19.71,30.37,29.39,30.86,105.81,105.83,84.37,105.73,102.5,119.6,22.01,23.79
6/15/10,#N/A N/A,33.11,26.89,55.62,12.0118,29.71,30.02,22.27,20.06,31.12,29.96,31.49,105.81,105.7,85.19,105.59,102.81,120.99,22.38,24.06
6/16/10,#N/A N/A,32.88,26.71,55.58,12.0179,29.82,29.94,22.33,20.07,31.08,30.15,31.3577,105.968,105.81,85.26,105.92,103.03,120.33,22.43,24.09
6/17/10,#N/A N/A,32.68,26.95,55.52,12.0016,29.86,30.03,22.41,20.07,30.91,30.37,31.384,106.22,106.51,85.9,106.43,103.24,121.9,22.44,24
6/18/10,#N/A N/A,32.47,26.66,55.61,12.0422,29.55,30,22.33,19.97,30.95,30.08,31.3,106.05,106.5,86.27,106.25,103.72,122.83,22.4,24.1
6/21/10,#N/A N/A,32.21,26.59,55.49,12.026,29.5,30.05,22.17,19.85,31.14,29.87,31.05,106.28,106.77,86.58,106.31,104,120.39,22.31,24.17
6/22/10,#N/A N/A,31.49,26.3,53.87,11.8352,29.21,29.3225,21.98,19.59,30.37,29.13,30.11,106.39,107.29,85.96,106.56,103.75,121.45,22.26,24.15
6/23/10,#N/A N/A,31.47,26.47,53.46,11.7824,29.09,29.21,21.94,19.78,30.43,28.87,30.01,106.66,107.74,85.9,106.58,103.85,120.95,21.89,24.08
6/24/10,#N/A N/A,30.72,26.15,52.34,11.5712,28.88,28.7,21.5,19.25,29.66,28.71,29.27,106.57,107.31,85.31,106.28,103.53,121.3,21.94,24.3
6/25/10,#N/A N/A,30.81,25.88,52.49,11.8839,29.01,28.92,21.475,19.23,30.1,28.84,30.01,106.72,107.49,85.7,106.65,103.5,122.76,22.34,24.22
6/28/10,#N/A N/A,30.58,26.1,51.78,11.7743,28.96,28.72,21.52,19.375,29.76,29.03,29.83,106.92,108.08,85.89,106.9,103.8,121.09,22.1,24.09
6/29/10,#N/A N/A,29.49,25.68,50.07,11.352,28.43,27.61,20.72,18.89,28.66,28.44,28.83,107.24,108.03,85.03,106.99,103.75,121.27,21.49,23.6
6/30/10,#N/A N/A,29.13,25.5,49.68,11.214,28.2,27.43,20.4,18.66,28.37,28.26,28.56,107.25,108.46,84.9,106.91,103.92,121.68,21.57,23.99
7/1/10,#N/A N/A,29.37,25.55,49.5,11.1084,27.96,27.35,20.32,18.69,28.21,28.13,28.46,106.88,108.14,84.68,106.02,103.25,117.04,21.24,24.19
7/2/10,#N/A N/A,29.04,25.45,49.38,10.9785,28.03,27.01,20.29,18.55,28.05,28.16,28.04,106.73,107.83,84.7,105.82,103.36,118.49,21.2,24.11
7/5/10,#N/A N/A,29.04,25.45,49.38,10.9785,28.03,27.01,20.29,18.55,28.05,28.16,28.04,106.73,107.83,84.7,105.82,103.36,118.49,21.2,24.11
7/6/10,#N/A N/A,29.04,25.6,49.86,11.0434,28.17,27.06,20.49,18.55,28.08,28.49,27.42,107.06,108.28,85.37,105.94,103.52,116.51,21.26,23.89
7/7/10,#N/A N/A,29.86,26.09,51.62,11.5306,28.72,28,21.15,19.07,29.2,29.37,28.6477,106.92,108.35,86.4,105.5,103.93,117.73,21.74,24.43
7/8/10,#N/A N/A,30.12,26.48,52.35,11.62,28.96,28.36,21.28,19.33,29.68,29.6,28.9599,106.9,108.08,86.8,105.66,104.42,117.21,21.94,24.62
7/9/10,#N/A N/A,30.41,26.48,52.62,11.7824,29.03,28.64,21.39,19.33,30.39,29.8,29.3623,106.74,107.95,86.6,105.74,104.65,118.36,21.98,24.54
7/12/10,#N/A N/A,30.45,26.57,52.48,11.7986,28.98,28.49,21.49,19.26,29.99,29.9,29.55,106.86,108.08,86.53,105.67,104.34,117.34,21.73,24.49
7/13/10,#N/A N/A,31.21,26.81,53.11,12.0909,29.2,28.99,21.8,19.58,30.8,30,30.21,106.59,108.14,87.2,105.55,105.21,118.36,22.08,24.7
7/14/10,#N/A N/A,31.01,26.82,53.05,12.0016,29.2,29.05,21.93,19.61,30.7,30.01,29.858,106.95,108.62,87.12,105.85,105.36,118.3,22.04,24.99
7/15/10,#N/A N/A,31.11,26.9,52.99,11.9773,29.29,29.04,22,19.565,30.67,30.21,29.9,107.1,108.81,87.25,105.98,105.22,118.23,22.25,25.37
7/16/10,#N/A N/A,30.02,26.52,51.73,11.473,28.68,28.07,21.3725,19.16,29.83,29.69,29.03,107.43,109,86.72,105.73,105.59,116.67,21.97,25.27
7/19/10,#N/A N/A,30.31,26.57,52.06,11.4657,28.81,28.23,21.58,19.27,29.86,30.15,29.42,107.33,108.98,87.01,105.32,105.76,115.73,21.95,24.96
7/20/10,#N/A N/A,30.74,26.89,53.25,11.5875,28.73,28.67,21.72,19.52,30.76,30.42,28.91,107.25,109.1,87.71,105.44,105.95,116.65,22.13,24.79
7/21/10,#N/A N/A,30.19,26.6,52.38,11.3999,28.26,28.6,21.46,19.37,30.66,29.95,29.326,107.72,109.63,87.67,105.99,106.35,115.85,22.07,24.87
7/22/10,#N/A N/A,31.1,26.9,53.54,11.7337,28.44,29.48,22.04,19.84,31.32,30.43,30.54,107.62,109.49,88.45,105.89,106.9,116.863,22.51,25.01
7/23/10,#N/A N/A,31.55,27.15,53.78,11.823,28.43,30.07,22.19,20.16,32.01,30.48,30.68,107.43,109.63,88.85,105.62,107.11,116.09,22.44,25.15
7/26/10,#N/A N/A,32.02,27.29,54.25,11.9854,28.84,30.56,22.32,20.43,32.2,30.7,31.384,107.41,109.73,88.89,105.66,107.15,115.52,22.42,24.98
7/27/10,#N/A N/A,31.61,27.39,53.99,12.0179,28.87,30.35,22.39,20.29,31.94,31.15,31.36,107.37,109.36,88.77,105.51,107.73,113.51,22.18,24.95
7/28/10,#N/A N/A,31.39,27.24,53.87,11.9123,28.48,30.27,22.21,20.32,31.84,31,31.35,107.57,109.75,88.58,105.86,107.57,113.78,22.27,25.31
7/29/10,#N/A N/A,31.23,26.91,53.95,11.9529,28.46,30.17,22.01,20.3,31.81,30.52,31,107.67,109.79,88.85,105.99,107.7,114.288,22.59,25.53
7/30/10,#N/A N/A,31.44,26.98,53.84,11.9448,28.57,30.29,21.92,20.34,32.01,30.37,31.1799,107.85,110.3,88.62,106.37,107.65,115.49,22.89,25.98
